Country,Happiness_Score
Norway,75.37
Denmark,75.22
Iceland,75.04
Switzerland,74.94
Finland,74.69
Netherlands,73.77
Canada,73.16
New Zealand,73.14
Sweden,72.84
Australia,72.84
Israel,72.13
Costa Rica,70.79
Austria,70.06
United States,69.93
Ireland,69.77
Germany,69.51
Belgium,68.91
Luxembourg,68.63
United Kingdom,67.14
Chile,66.52
United Arab Emirates,66.48
Brazil,66.35
Czech Republic,66.09
Argentina,65.99
Mexico,65.78
Singapore,65.72
Malta,65.27
Uruguay,64.54
Guatemala,64.54
Panama,64.52
France,64.42
Thailand,64.24
Taiwan,64.22
Spain,64.03
Qatar,63.75
Colombia,63.57
Saudi Arabia,63.44
Trinidad and Tobago,61.68
Kuwait,61.05
Slovakia,60.98
Bahrain,60.87
Malaysia,60.84
Nicaragua,60.71
Ecuador,60.08
El Salvador,60.03
Poland,59.73
Uzbekistan,59.71
Italy,59.64
Russia,59.63
Belize,59.56
Japan,59.20
Lithuania,59.02
Algeria,58.72
Latvia,58.50
South Korea,58.38
Moldova,58.38
Romania,58.25
Bolivia,58.23
Turkmenistan,58.22
Kazakhstan,58.19
North Cyprus,58.10
Slovenia,57.58
Peru,57.15
Mauritius,56.29
Cyprus,56.21
Estonia,56.11
Belarus,55.69
Libya,55.25
Turkey,55.00
Paraguay,54.93
"Hong Kong S.A.R., China",54.72
Philippines,54.30
Serbia,53.95
Jordan,53.36
Hungary,53.24
Jamaica,53.11
Croatia,52.93
Kosovo,52.79
China,52.73
Pakistan,52.69
Indonesia,52.62
Venezuela,52.50
Montenegro,52.37
Morocco,52.35
Azerbaijan,52.34
Dominican Republic,52.30
Greece,52.27
Lebanon,52.25
Portugal,51.95
Bosnia and Herzegovina,51.82
Honduras,51.81
Macedonia,51.75
Somalia,51.51
Vietnam,50.74
Nigeria,50.74
Tajikistan,50.41
Bhutan,50.11
Kyrgyzstan,50.04
Nepal,49.62
Mongolia,49.55
South Africa,48.29
Tunisia,48.05
Palestinian Territories,47.75
Egypt,47.35
Bulgaria,47.14
Sierra Leone,47.09
Cameroon,46.95
Iran,46.92
Albania,46.44
Bangladesh,46.08
Namibia,45.74
Kenya,45.53
Mozambique,45.50
Myanmar,45.45
Senegal,45.35
Zambia,45.14
Iraq,44.97
Gabon,44.65
Ethiopia,44.60
Sri Lanka,44.40
Armenia,43.76
India,43.15
Mauritania,42.92
Republic of Congo,42.91
Georgia,42.86
Democratic Republic of the Congo,42.80
Mali,41.90
Ivory Coast,41.80
Cambodia,41.68
Sudan,41.39
Ghana,41.20
Ukraine,40.96
Uganda,40.81
Burkina Faso,40.32
Niger,40.28
Malawi,39.70
Chad,39.36
Zimbabwe,38.75
Lesotho,38.08
Angola,37.95
Afghanistan,37.94
Botswana,37.66
Benin,36.57
Madagascar,36.44
Haiti,36.03
Yemen,35.93
South Sudan,35.91
Liberia,35.33
Guinea,35.07
Togo,34.95
Rwanda,34.71
Syria,34.62
Tanzania,33.49
Burundi,29.05
Central African Republic,26.93